compliance_id,veh_id,veh_name,market_class,fueling_class,techNo,base_year_market_share,market_class_share_frac,project_sales,base_year_msrp_dollars,market_share_frac,credits_co2e_Mg_per_vehicle,target_co2e_Mg_per_vehicle,cert_co2e_Mg_per_vehicle,cert_co2e_grams_per_mile,cert_direct_co2e_grams_per_mile,cert_direct_kwh_per_mile,onroad_direct_co2e_grams_per_mile,onroad_direct_kwh_per_mile,new_vehicle_mfr_cost_dollars,new_vehicle_mfr_generalized_cost_dollars,battery_kwh,curbweight_lbs,rated_hp,footprint_ft2
Maserati,Mas_4-2,composite vehicle (cuv_suv_van.ICE.truck.ALT),cuv_suv_van.ICE,ICE,2,0.0005821862524165652,1.0,7853.778979674383,91956.03347101044,1.0,-1.37869455539591,58.051176971428575,59.429871526824485,263.1212074771411,280.3212074771411,0.0,335.66450374225064,0.0,92098.56387626936,95800.87805656197,0.0,4525.132582686529,426.5938591331198,50.857142857142854
Maserati,Mas_4-3,composite vehicle (cuv_suv_van.ICE.truck.ALT),cuv_suv_van.ICE,ICE,3,0.0005821862524165652,1.0,7853.778979674383,91956.03347101044,1.0,4.497844732286637,58.051176971428575,53.55333223914194,237.10327956585544,254.30327956585543,0.0,319.978062288754,0.0,93103.01000389643,96656.07260073631,0.0,4169.408788026025,393.0590215174649,50.857142857142854
Maserati,Mas_4-4,composite vehicle (cuv_suv_van.ICE.truck.ALT),cuv_suv_van.ICE,ICE,4,0.0005821862524165652,1.0,7853.778979674383,91956.03347101044,1.0,8.537793156021237,63.43190401350001,54.89411085747877,243.03947427657573,260.2394742765757,0.0,326.4454876920899,0.0,95309.93021331725,97881.95691118123,0.0,4413.689224480377,416.0878570694869,56.07
Maserati,Mas_4-5,composite vehicle (cuv_suv_van.ICE.truck.ALT),cuv_suv_van.ICE,ICE,5,0.0005821862524165652,1.0,7853.778979674383,91956.03347101044,1.0,12.37414210981727,63.43190401350001,51.05776190368274,226.05433291427508,243.25433291427507,0.0,311.5688685492759,0.0,97961.65964743597,100392.13996780761,0.384,4476.458633401143,422.00526255932056,56.07
Mazda,Maz_1-0,composite vehicle (sedan_wagon.BEV.car.ALT),sedan_wagon.BEV,BEV,0,0.004963196627307483,1.0,53723.83611088842,26320.076403636365,0.9999999999999998,65.62507515953,59.200889559530005,-6.424185600000002,-18.800000000000008,-5.000000000000002,0.199977868226272,0.0,0.2664464644561461,40541.57963469388,42314.02389441415,84.20120767421979,3921.432119106063,228.42959004000093,41.73435035114343
Mazda,Maz_1-1,composite vehicle (sedan_wagon.BEV.car.ALT),sedan_wagon.BEV,BEV,1,0.004963196627307483,1.0,53723.83611088842,26320.076403636365,0.9999999999999998,70.46473740033353,64.04055180033355,-6.424185600000002,-18.800000000000008,-5.000000000000002,0.20144903122856558,0.0,0.2680156180908168,41683.466644231354,42705.79453851485,84.82064472781708,4074.5321743216564,237.02661314299257,45.524834401861995
Mazda,Maz_2-0,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,0,0.004963196627307483,1.0,53723.83611088842,26320.076403636365,0.9999999999999998,-4.815482607958716,33.82907974830285,38.64456235626157,197.90930410245403,211.709304102454,0.0,261.6562304823979,0.0,25754.10458567735,28661.02527184951,0.0,2910.253795062977,169.3148724546229,41.73435035114343
Mazda,Maz_2-1,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,7,0.004963196627307483,1.0,53723.83611088842,26320.076403636365,0.9999999999999998,-4.345017449982123,33.82907974830285,38.17409719828498,195.49992419639563,209.29992419639558,0.0,259.8058743903956,0.0,25801.41508130567,28690.730208084296,0.0,2910.253795062977,169.3148724546229,41.73435035114343
Mazda,Maz_2-2,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,13,0.004963196627307483,1.0,53723.83611088842,26320.076403636365,0.9999999999999998,-3.491771314553171,33.82907974830285,37.32085106285602,191.1302188977796,204.93021889777958,0.0,255.72080666028685,0.0,25926.921257176786,28777.36824237991,0.0,2910.253795062977,169.3148724546229,41.73435035114343
Mazda,Maz_2-3,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,20,0.004963196627307483,1.0,53723.83611088842,26320.076403636365,0.9999999999999998,1.9123582867816875,35.668024377631234,33.75566609084954,172.87193794478011,186.6719379447801,0.0,238.38099141000828,0.0,27370.01431659416,29585.7659093498,0.0,3000.2756918871332,174.6510440422218,44.08291272374813
