compliance_id,veh_name,market_class,fueling_class,market_share_frac,credits_co2e_Mg_per_vehicle,target_co2e_Mg_per_vehicle,cert_co2e_Mg_per_vehicle,cert_co2e_grams_per_mile,cert_direct_co2e_grams_per_mile,cert_direct_kwh_per_mile,onroad_direct_co2e_grams_per_mile,onroad_direct_kwh_per_mile,new_vehicle_mfr_cost_dollars,new_vehicle_mfr_generalized_cost_dollars,battery_kwh,curbweight_lbs,rated_hp,footprint_ft2
General Motors,composite vehicle (cuv_suv_van.ICE.truck.ALT),cuv_suv_van.ICE,ICE,1.0,1.5204555585904673,54.037456079589,52.51700052099852,232.51500020365503,249.71500020365497,0.0,347.3050170397973,0.0,36156.34126525453,43234.23511056264,0.0,3753.841110822334,233.14345277278335,46.92769758478768
General Motors,composite vehicle (cuv_suv_van.ICE.truck.ALT),cuv_suv_van.ICE,ICE,1.0,1.9145433185174452,54.037456079589,52.12291276107155,230.77020680969412,247.9702068096941,0.0,346.1187900489746,0.0,36181.693067577246,43237.01375539269,0.0,3739.0649919146294,232.53621500945303,46.92769758478768
General Motors,composite vehicle (cuv_suv_van.ICE.truck.ALT),cuv_suv_van.ICE,ICE,1.0,1.975992325480694,54.037456079589,52.061463754108296,230.49814603461496,247.69814603461495,0.0,345.94572520110796,0.0,36185.7923059944,43237.819678030006,0.0,3739.0649919146294,232.53621500945303,46.92769758478768
General Motors,composite vehicle (cuv_suv_van.ICE.truck.ALT),cuv_suv_van.ICE,ICE,1.0,3.0983302092477145,54.037456079589,50.939125870341286,225.529080956949,242.72908095694896,0.0,341.3649213786652,0.0,36294.181889335436,43259.054638175,0.0,3739.0649919146294,232.53621500945303,46.92769758478768
General Motors,composite vehicle (cuv_suv_van.ICE.truck.ALT),cuv_suv_van.ICE,ICE,1.0,6.252192643933542,54.037456079589,47.785263435655466,211.5655964211164,228.7655964211164,0.0,329.37468601008396,0.0,36619.30418093786,43356.010252199616,0.0,3656.7777304944725,228.5415089821072,46.92769758478768
General Motors,composite vehicle (cuv_suv_van.ICE.truck.ALT),cuv_suv_van.ICE,ICE,1.0,8.485225218939066,54.037456079589,45.552230860649935,201.67901560954527,218.87901560954523,0.0,321.5936096576278,0.0,36904.082307930155,43492.73442352609,0.0,3620.446182349195,226.7514127670263,46.92769758478768
General Motors,composite vehicle (cuv_suv_van.ICE.truck.ALT),cuv_suv_van.ICE,ICE,1.0,12.834195243149317,54.788193224331685,41.953997981182376,185.7481149411479,202.94811494114788,0.0,315.1314710845593,0.0,37988.81431837655,44309.03535709925,0.0,3493.4233884030946,217.33265038355856,47.65501295625717
General Motors,composite vehicle (cuv_suv_van.ICE.truck.ALT),cuv_suv_van.ICE,ICE,1.0,20.789496982843783,58.96018011558626,38.17068313274248,168.99777802112982,186.19777802112984,0.0,301.51309333701215,0.0,42480.701210476815,47725.23551303485,0.6265970345478715,3710.870373844674,230.3655710535226,51.73778658722842
General Motors,composite vehicle (cuv_suv_van.ICE.truck.ALT),cuv_suv_van.ICE,ICE,1.0,20.868452638085245,58.96018011558626,38.09172747750102,168.6482079007417,185.84820790074173,0.0,300.0573644668816,0.0,42661.59823808896,47878.43093100036,0.6630801056628256,3710.870373844674,230.3655710535226,51.73778658722842
General Motors,composite vehicle (cuv_suv_van.ICE.truck.ALT),cuv_suv_van.ICE,ICE,1.0,20.98581109021557,58.96018011558626,37.9743690253707,168.128612336443,185.32861233644303,0.0,298.65904667839015,0.0,43036.832798449694,48227.05637867977,0.6934781169735728,3710.870373844674,230.3655710535226,51.73778658722842
General Motors,composite vehicle (cuv_suv_van.ICE.truck.ALT),cuv_suv_van.ICE,ICE,1.0,21.619677066936067,58.96018011558626,37.34050304865021,165.32221924003366,182.5222192400337,0.0,290.82854598855664,0.0,46596.366790697735,51637.57821233364,0.8962889999999987,3710.870373844674,230.3655710535226,51.73778658722842
General Motors,composite vehicle (cuv_suv_van.ICE.truck.NO_ALT),cuv_suv_van.ICE,ICE,1.0,-6.631138089093103,61.89134600700531,68.52248409609838,303.3780536873725,320.5780536873725,0.0,441.904278461154,0.0,49280.72573278208,57689.722276429486,0.0,4847.265033443012,315.29391627297076,54.57750488821486
General Motors,composite vehicle (sedan_wagon.ICE.car.NO_ALT),sedan_wagon.ICE,ICE,1.0,0.5439119154775801,37.153762666492085,36.6098507510145,187.48899311196377,201.2889931119638,0.0,287.274350965096,0.0,28581.337555126644,34047.98872569363,0.005865093338540591,3186.548325333808,182.24119994622612,46.22884311768988
General Motors,composite vehicle (pickup.ICE.truck.NO_ALT),pickup.ICE,ICE,1.0,-1.0769021230368727,73.7757857347049,74.85268785774177,331.404546334057,348.60454633405686,0.0,494.0028435223919,0.0,47017.30507757198,56416.53659846193,0.0,5038.466604836497,342.9196854645047,67.40165177850466
General Motors,composite vehicle (cuv_suv_van.BEV.car.ALT),cuv_suv_van.BEV,BEV,1.0,24.4238554264531,34.3513991465155,9.927543720062403,50.84164884496068,-5.0,0.21177421873245514,0.0,0.3404382203544286,41326.89325235945,45222.22040174416,89.16809209787583,4275.589746364574,218.09454306380988,43.25070231254814
General Motors,composite vehicle (cuv_suv_van.BEV.car.ALT),cuv_suv_van.BEV,BEV,1.0,27.44146474326445,37.70790674046447,10.266441997200019,52.57723900565397,-5.0,0.2148131265980885,0.0,0.3441606328197392,43074.962538084095,46121.5133854264,90.44763225182675,4527.4227225808245,230.96011794665483,47.68389929958432
