compliance_id,veh_name,market_class,fueling_class,market_share_frac,credits_co2e_Mg_per_vehicle,target_co2e_Mg_per_vehicle,cert_co2e_Mg_per_vehicle,cert_co2e_grams_per_mile,cert_direct_co2e_grams_per_mile,cert_direct_kwh_per_mile,onroad_direct_co2e_grams_per_mile,onroad_direct_kwh_per_mile,new_vehicle_mfr_cost_dollars,new_vehicle_mfr_generalized_cost_dollars,battery_kwh,curbweight_lbs,rated_hp,footprint_ft2
FCA,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,1,-8.181958513,39.65210517,47.83406368,244.9712373,258.7712373,0,338.1704205,0,34668.32693,41604.17592,0,3947.377998,326.2046269,50.0677452
FCA,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,1,-8.11250504,39.65210517,47.76461021,244.6155472,258.4155472,0,337.9537821,0,34675.54121,41607.2677,0,3947.377998,326.2046269,50.0677452
FCA,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,1,-3.137760383,39.65210517,42.78986555,219.1385281,232.9385281,0,321.4877712,0,35314.42223,41932.81083,0,3944.94595,325.9260385,50.0677452
FCA,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,1,3.657484896,43.44550518,39.78802028,203.7652628,217.5652628,0,313.3852149,0,37898.89436,43347.85657,0,3828.542717,317.0299932,55.14394429
FCA,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,1,6.350244941,43.44575671,37.09551177,189.9761951,203.7761951,0,299.6143574,0,39786.90146,44973.6974,0.392049247,3866.845012,320.1656398,55.14452165
FCA,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,1,6.500694406,43.44575671,36.9450623,189.2057025,203.0057025,0,297.1502605,0,40619.15385,45759.05956,0.467188482,3866.845012,320.1656398,55.14452165
FCA,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,1,6.664866427,43.44575671,36.78089028,188.364933,202.164933,0,290.024781,0,43804.99044,48809.30273,0.733135783,3866.845012,320.1656398,55.14452165
FCA,composite vehicle (sedan_wagon.ICE.car.ALT),sedan_wagon.ICE,ICE,1,6.679649767,43.44575671,36.76610694,188.2892235,202.0892235,0,287.5917983,0,44711.21018,49669.22433,0.807529752,3866.845012,320.1656398,55.14452165
FCA,composite vehicle (cuv_suv_van.BEV.truck.ALT),cuv_suv_van.BEV,BEV,1,41.12246012,54.24575345,13.12329333,58.10237677,-7.2,0.266973369,0,0.427376545,52627.63522,57446.46291,112.4098397,5540.174326,339.1944227,47.17009237
FCA,composite vehicle (cuv_suv_van.BEV.truck.ALT),cuv_suv_van.BEV,BEV,1,41.123124,54.24575345,13.12262945,58.09943747,-7.2,0.266968223,0,0.427370446,52627.73876,57446.50443,112.4076727,5539.895369,339.157648,47.17009237
FCA,composite vehicle (cuv_suv_van.BEV.truck.ALT),cuv_suv_van.BEV,BEV,1,45.67789891,59.23602632,13.55812741,60.02757137,-7.2,0.270344262,0,0.431429966,54657.1898,58550.2606,113.8291631,5771.991547,353.1305719,52.00502684
FCA,composite vehicle (cuv_suv_van.BEV.truck.ALT),cuv_suv_van.BEV,BEV,1,46.30633467,59.23602632,12.92969166,57.24522018,-7.2,0.265472543,0,0.425572309,55060.39796,58893.8867,111.7779127,5435.859662,332.8168708,52.00502684
